school_name,district,school_code,dist_code,total_feedback,rating_1,rating_2,rating_3,rating_4,rating_5,total_rated,reasons_with_text
"Govt SW Boys Hostel, Settur",ANANTAPUR,1008-2402-011,502,10,0,0,0,1,9,10,0
"Govt SW Girls Hostel No.2, Kalyandurg",ANANTAPUR,1008-2402-010,502,10,0,0,0,0,10,10,0
"Govt. SW Boys Hostel No.1, Gooty",ANANTAPUR,1004-2402-001,502,10,0,0,0,0,10,10,0
"Govt. SW Boys Hostel No.1, Kambadur",ANANTAPUR,1009-2402-001,502,30,0,0,1,12,17,30,0
"Govt. SW Boys Hostel No.2, Uravakonda",ANANTAPUR,1017-2402-002,502,20,0,0,0,1,19,20,0
"Govt. SW Boys Hostel No.4, Anantapur",ANANTAPUR,1001-2402-004,502,30,0,0,0,1,29,30,0
"Govt. SW Boys Hostel,  Konakondla",ANANTAPUR,1005-2402-004,502,10,0,0,0,1,9,10,0
"Govt. SW Boys Hostel, Chukkaluru",ANANTAPUR,1016-2402-006,502,10,0,0,0,0,10,10,0
"Govt. SW Boys Hostel, Singanamala",ANANTAPUR,1015-2402-001,502,10,0,0,0,3,7,10,0
"Govt. SW Boys Hostel,Bukkarasamudram",ANANTAPUR,1001-2402-007,502,10,0,0,0,0,10,10,0
"Govt. SW Girls Hostel No.1, Anantapur",ANANTAPUR,1001-2402-005,502,10,0,0,0,0,10,10,0
"Govt. SW Girls Hostel No.1, Kalyandurg",ANANTAPUR,1008-2402-009,502,10,0,0,0,0,10,10,0
"Govt. SW Girls Hostel No.2, Anantapur",ANANTAPUR,1001-2402-006,502,40,0,0,0,3,37,40,0
"Govt. SW Girls Hostel, Rayadurg",ANANTAPUR,1014-2402-004,502,10,0,0,0,0,10,10,0
"Govt. SW Girls Hostel, Tadipatri",ANANTAPUR,1016-2402-004,502,10,0,0,0,0,10,10,0
Govt. SW GirlsHostel Peddavadaguru,ANANTAPUR,1004-2402-011,502,10,0,0,0,1,8,9,3
KGBV  GARLADINNE,ANANTAPUR,28221301612,502,17,0,0,0,8,9,17,1
KGBV  NARPALA,ANANTAPUR,28222700422,502,30,3,0,1,0,26,30,1
KGBV  URAVAKONDA,ANANTAPUR,28221591148,502,10,0,0,0,0,10,10,0
KGBV  VAJRAKARUR,ANANTAPUR,28220400410,502,10,0,0,0,0,10,10,0
KGBV BELUGUPPA,ANANTAPUR,28221600313,502,10,0,0,0,0,10,10,0
KGBV BOMMANAHAL,ANANTAPUR,28220200506,502,9,0,0,0,4,5,9,0
KGBV D.HIREHAL,ANANTAPUR,28220100410,502,10,0,0,0,8,2,10,0
KGBV GEN TADIPATRI,ANANTAPUR,28220902812,502,10,0,0,0,4,6,10,0
KGBV GUMMAGATTA,ANANTAPUR,28221901107,502,10,0,0,0,0,10,10,0
KGBV KALYANDURG,ANANTAPUR,28222301034,502,10,0,0,0,0,10,10,0
KGBV KAMBADUR,ANANTAPUR,28223400919,502,40,1,0,0,15,24,40,21
KGBV KUDAIR,ANANTAPUR,28221400909,502,20,0,0,0,0,20,20,0
KGBV KUNDURPI,ANANTAPUR,28222200716,502,40,0,0,0,14,26,40,2
KGBV PAMIDI,ANANTAPUR,28221202031,502,10,0,0,0,0,10,10,0
KGBV PEDDAPAPPUR,ANANTAPUR,28221001307,502,30,0,0,0,0,30,30,0
KGBV PUTLUR,ANANTAPUR,28222800513,502,20,0,0,0,0,20,20,0
KGBV RAJAPURAM,ANANTAPUR,28220600904,502,30,0,0,0,5,25,30,0
KGBV SETTUR,ANANTAPUR,28222100112,502,7,0,1,0,1,4,6,4
KGBV VIDAPANAKA,ANANTAPUR,28220300807,502,10,0,0,0,3,7,10,0
KGBV YADIKI,ANANTAPUR,28220800338,502,10,0,0,0,2,7,9,2
MJBCWREIS Narsapuram @ Narpala,ANANTAPUR,28221101406,502,20,2,1,2,4,10,19,4
"MJBCWREIS, Pennahobilum  @ Konakondla",ANANTAPUR,28221591134,502,17,0,0,0,0,17,17,1
SC COLLEGE BOYS HOSTEL KALYANDURG,ANANTAPUR,1008-2402-014,502,41,0,0,2,6,33,41,2
"APBCWRS ,PILER",ANNAMAYYA,28233101177,753,10,0,0,0,0,10,10,0
APRS GYARAMPALLI.,ANNAMAYYA,28230902108,753,20,0,0,0,5,15,20,9
APRS VAYALPADU,ANNAMAYYA,28233301426,753,10,0,0,0,0,10,10,0
"APTWRS(B),PILERU",ANNAMAYYA,28233101183,753,9,0,0,0,0,9,9,0
"APTWRS(G),K.V.PALLI",ANNAMAYYA,28230900917,753,10,0,0,0,5,5,10,0
"APTWRS(G),PUNGANUR",ANNAMAYYA,28233790884,753,10,0,0,0,0,10,10,0
"APTWRS(G),RAYACHOTI",ANNAMAYYA,28204991610,753,51,2,2,2,10,35,51,0
"Dr. B. R. Ambedkar Gurukulam,ADAPUR AT NANDALURU",ANNAMAYYA,28204001806,753,407,3,0,8,61,334,406,25
"Dr. B. R. Ambedkar Gurukulam,LAKKIREDDIPALLI",ANNAMAYYA,28203600530,753,349,0,0,0,1,348,349,0
"Dr. B. R. Ambedkar Gurukulam,VALMEEKIPURAM",ANNAMAYYA,28233301433,753,2306,2,7,7,156,2133,2305,48
"Dr. B. R. Ambedkar Gurukulam/JC,B KOTHAKOTA",ANNAMAYYA,28230500227,753,512,1,0,7,52,452,512,21
"Dr. B. R. Ambedkar Gurukulam/JC,BURAKAYALKOTA",ANNAMAYYA,28230301309,753,1182,3,2,1,97,1079,1182,11
"Dr. B. R. Ambedkar Gurukulam/JC,DEVAPATLA",ANNAMAYYA,28204700916,753,636,0,0,1,32,602,635,4
"Dr. B. R. Ambedkar Gurukulam/JC,KODURU",ANNAMAYYA,28204400911,753,320,14,2,18,80,206,320,33
"Dr. B. R. Ambedkar Gurukulam/JC,MADANAPALLI (DPIP)",ANNAMAYYA,28233590594,753,3277,20,13,13,56,3157,3259,614
"Dr. B. R. Ambedkar Gurukulam/JC,PILERU",ANNAMAYYA,28233101211,753,343,8,4,23,39,265,339,49
"Dr. B. R. Ambedkar Gurukulam/JC,RAYACHOTI (BCRS)",ANNAMAYYA,28204901108,753,448,2,3,26,52,360,443,72
"Dr.B.R.Ambedkar Gurukulam for Boys, Ramapuram, Annamayya District.",ANNAMAYYA,28203700609,753,464,1,6,3,8,443,461,23
GOVT [BC] BOYS HOSTEL -  PUNGANUR,ANNAMAYYA,1111-2503-001,753,10,0,0,0,0,10,10,0
GOVT [SW] BOYS HOSTEL - CHINTHAPARTHI [SPL],ANNAMAYYA,1118-2402-005,753,30,0,0,0,0,30,30,1
GOVT [SW] BOYS HOSTEL - CHOWDEPALLE [SPL],ANNAMAYYA,1111-2402-006,753,10,0,0,0,0,10,10,0
GOVT [SW] BOYS HOSTEL - GYARAMPALLE,ANNAMAYYA,1110-2402-003,753,10,0,0,0,3,7,10,0
GOVT [SW] BOYS HOSTEL - K.V.PALLE,ANNAMAYYA,1110-2402-010,753,20,0,0,0,0,20,20,0
GOVT [SW] BOYS HOSTEL - PUNGANUR [SPL],ANNAMAYYA,1111-2402-010,753,29,1,0,4,13,11,29,0
GOVT [SW] BOYS HOSTEL NO.3 - MADANAPALLE [SPL],ANNAMAYYA,1106-2402-009,753,20,0,0,1,7,12,20,0
GOVT [SW] GIRLS HOSTEL NO.1 - MADANAPALLE [SPL],ANNAMAYYA,1106-2402-005,753,10,0,0,0,0,10,10,1
"GOVT.B.C.COLLEGE GIRLS HOSTEL,RAYACHOTY",ANNAMAYYA,1212-2503-007,753,10,0,0,0,0,10,10,1
"GOVT.S.W.GIRLS HOSTEL NO.2, RAYACHOTY",ANNAMAYYA,1212-2402-012,753,10,0,0,0,0,10,10,0
GOVT.SW COLLEGE GIRLS HOSTEL MADANAPALLE,ANNAMAYYA,1106-2402-012,753,9,0,0,0,0,9,9,0
KGBV SIDDAVARAM PEDDAMANDYAMMANDAL,ANNAMAYYA,28230100706,753,24,0,0,0,0,24,24,0
KGBV VAGALLA,ANNAMAYYA,28230900913,753,20,0,0,0,0,20,20,1
"MJPAPBCWREIS, Sodum",ANNAMAYYA,28234000615,753,30,0,0,0,0,30,30,6
MJPAPBCWRS GIRLS KALIKIRI,ANNAMAYYA,28233201228,753,10,0,0,0,0,10,10,0
"MJPBCWREIS, Thamballapalli",ANNAMAYYA,28230200825,753,28,0,0,0,0,28,28,0
"S.W.R GDC,KALIKIRI",ANNAMAYYA,gdc_kalikiri,753,30,0,1,2,7,20,30,6
Dr. B. R. Ambedkar Gurukulam NARASAYAPALEM,BAPATLA,30729000000,750,2300,2,5,8,26,2243,2284,1185
"Dr. B. R. Ambedkar Gurukulam,REPALLEY (BCRS)",BAPATLA,28175290847,750,109,6,6,5,18,73,108,19
"Dr. B. R. Ambedkar Gurukulam/JC,BAPATLA",BAPATLA,28175790143,750,1757,3,1,10,41,1699,1754,74
"Dr. B. R. Ambedkar Gurukulam/JC,NAGULAPALEM AT PARCHUR",BAPATLA,28182101113,750,10,0,0,0,2,8,10,0
"Dr. B. R. Ambedkar Gurukulam/JC,NIZAMPATNAM (PALLPATLA)",BAPATLA,28175400507,750,1347,1,2,3,120,1219,1345,22
"Dr. B. R. Ambedkar Gurukulam/JC,NORTH ADDANKI AT ADDANKI",BAPATLA,28181601121,750,71,11,1,2,3,50,67,11
"Dr. B. R. Ambedkar Gurukulam/JC,T SUNDUR",BAPATLA,28173300805,750,50,0,1,0,0,49,50,20
"Dr. B. R. Ambedkar Gurukulam/JC,YEDDANAPUDI",BAPATLA,28181900508,750,227,5,0,4,29,181,219,107
"GOVT.B.C.BOYS HOSTEL-1, BAPATLA.",BAPATLA,0602-2503-002,750,10,0,0,0,0,10,10,4
"GTW INTEGRATED WELFARE HOSTELS COMPLEX(GIRLS), BAPATLA",BAPATLA,0602-2403-006,750,10,0,0,0,0,10,10,8
Govt. Residential School and Junior College for Hearing Handicapped,BAPATLA,28175701708,750,10,0,0,0,1,9,10,10
KGBV CHIRALA,BAPATLA,28182390292,750,20,0,0,0,9,9,18,3
SOCIAL WELFARE GIRLS HOSTEL-I REPALLE,BAPATLA,0614-2402-004,750,30,0,0,0,0,30,30,0
"SW COLLEGE GIRLS HOSTEL-2, REPALLE",BAPATLA,0614-2402-013,750,10,0,0,0,0,10,10,0
APMS GUDUPALLI,CHITTOOR,28236501804,503,10,0,0,0,0,10,10,0
APRS CHITTOOR,CHITTOOR,28235400409,503,10,0,0,0,0,10,10,0
APRS KAMMANAPALLE,CHITTOOR,28236101106,503,20,0,0,0,0,20,20,0
"APTWRS(B),RARMAKUPPAM",CHITTOOR,28236301202,503,49,0,0,1,5,43,49,0
"APTWRS(G),CHITTOOR",CHITTOOR,28235492001,503,10,0,0,0,0,10,10,0
"Dr. B. R. Ambedkar Gurukulam,G D NELLORE",CHITTOOR,28234901409,503,1488,12,4,15,25,1404,1460,135
"Dr. B. R. Ambedkar Gurukulam,KUPPAM (VIJAPURAM)",CHITTOOR,28236302206,503,2832,2,4,67,522,2237,2832,29
"Dr. B. R. Ambedkar Gurukulam,POTHALAPATTU",CHITTOOR,28235100604,503,484,13,0,7,14,448,482,29
"Dr. B. R. Ambedkar Gurukulam/JC,CHITTOOR",CHITTOOR,28235491821,503,1660,25,13,21,70,1498,1627,108
"Dr. B. R. Ambedkar Gurukulam/JC,KUPPAM (DPIP)",CHITTOOR,28236601304,503,3987,14,20,47,308,3575,3964,709
"Dr. B. R. Ambedkar Gurukulam/JC,PALAMANERU",CHITTOOR,28235800316,503,3801,16,8,16,24,3721,3785,120
"Dr. B. R. Ambedkar Gurukulam/JC,RAMAKUPPAM",CHITTOOR,28236301201,503,1311,1,7,20,189,1083,1300,39
GOVT SW BOYS HOSTEL - UGRANAMPALLE SPL,CHITTOOR,1101-2402-028,503,10,0,0,0,0,10,10,0
"GOVT SW COLLEGE BOYS HOSTEL, K.NAGAR",CHITTOOR,1112-2402-021,503,20,0,0,0,0,20,20,1
GOVT [BC] BOYS HOSTEL -  ROMPICHERLA,CHITTOOR,1110-2503-002,503,19,0,0,0,0,19,19,0
GOVT [BC] COLLEGE BOYS HOSTEL - NAGARI,CHITTOOR,1107-2503-007,503,10,0,0,1,0,9,10,1
GOVT [BC] COLLEGE BOYS HOSTEL - PALAMANER,CHITTOOR,1109-2503-005,503,10,0,0,0,0,10,10,0
GOVT [BC] COLLEGE GIRLS HOSTEL -  PALAMANER,CHITTOOR,1109-2503-004,503,20,0,0,0,0,20,20,0
GOVT [BC] COLLEGE GIRLS HOSTEL - PUTHALAPATTU,CHITTOOR,1101-2503-010,503,10,0,0,0,0,10,10,0
GOVT [SW]  BOYS HOSTEL - PENUMUR(Spl.),CHITTOOR,1101-2402-026,503,10,0,0,0,0,10,10,10
GOVT [SW] BOYS HOSTEL - BAIREDDIPALLE,CHITTOOR,1109-2402-006,503,10,0,0,0,0,10,10,0
GOVT [SW] BOYS HOSTEL - DEVALAMPETA [SPL],CHITTOOR,1112-2402-015,503,20,0,0,0,0,20,20,4
GOVT [SW] BOYS HOSTEL - KOLAMASANAPALLE,CHITTOOR,1109-2402-007,503,61,0,0,2,56,3,61,0
GOVT [SW] BOYS HOSTEL NO.1 - PALAMANER [SPL],CHITTOOR,1109-2402-003,503,10,0,0,0,0,10,10,0
GOVT [SW] GIRLS HOSTEL - IRALA,CHITTOOR,1101-2402-011,503,10,0,0,0,0,10,10,0
GOVT [SW] GIRLS HOSTEL - PALAMANER [SPL],CHITTOOR,1109-2402-002,503,8,0,0,0,0,8,8,0
GOVT. SW COLLEGE GIRLS HOSTEL KUPPAM,CHITTOOR,1105-2402-008,503,10,0,0,0,0,10,10,0
GOVT.SW COLLEGE BOYS HOSTEL KUPPAM,CHITTOOR,1105-2402-007,503,10,0,0,0,4,6,10,0
"GOVT.SW COLLEGE GIRLS HOSTEL, PUTHALAPATTU",CHITTOOR,1101-2402-044,503,10,0,0,0,1,9,10,0
GOVT.SWCOLLEGE GIRLS HOSTELNO.2 CHITTOOR,CHITTOOR,1101-2402-042,503,9,0,0,1,0,5,6,4
KGBV GANGAVARAM,CHITTOOR,28235901420,503,40,0,0,0,0,40,40,0
KGBV GUDUPALLE,CHITTOOR,28236501605,503,10,0,0,0,0,10,10,1
KGBV PARAMASAMUDRAM KUPPAMMANDAL,CHITTOOR,28236601305,503,20,0,0,0,2,17,19,10
KGBV RAMAKUPPAM,CHITTOOR,28236302205,503,40,0,0,2,10,28,40,0
MJPAPBCWR Kuppam(B),CHITTOOR,28236690461,503,20,0,0,0,0,20,20,0
Residential School Principal Kuppam,CHITTOOR,28237101954,503,10,0,0,0,1,9,10,0
"Dr. B. R. Ambedkar Gurukulam,DRAKSARAMA",DR.B.R.AMBEDKAR KONASEEMA,28143901513,747,29,0,8,0,0,20,28,20
"Dr. B. R. Ambedkar Gurukulam,GANNAVARAM",DR.B.R.AMBEDKAR KONASEEMA,28144700721,747,30,0,0,0,1,29,30,2
"Dr. B. R. Ambedkar Gurukulam/JC,ALLAVARAM",DR.B.R.AMBEDKAR KONASEEMA,28145500809,747,28,0,0,0,3,25,28,16
"Dr. B. R. Ambedkar Gurukulam/JC,GODI AT KOMARAGIRI PATNAM",DR.B.R.AMBEDKAR KONASEEMA,28145500807,747,10,0,0,0,0,10,10,0
"Dr. B. R. Ambedkar Gurukulam/JC,MUMMIDIVARAM",DR.B.R.AMBEDKAR KONASEEMA,28145000727,747,20,0,0,0,1,19,20,0
"Dr. B. R. Ambedkar Gurukulam/JC,RAZOLE (BCRS)",DR.B.R.AMBEDKAR KONASEEMA,28145700415,747,160,3,2,11,20,122,158,56
SWBH 1 RAMACHANDRAPURAM,DR.B.R.AMBEDKAR KONASEEMA,0313-2402-002,747,10,0,0,0,0,10,10,0
"Dr. B. R. Ambedkar Gurukulam Jr. College,KOTTURU (LN PURAM JC)",EAST GODAVARI,28143300238,505,189,3,6,7,33,139,188,21
"Dr. B. R. Ambedkar Gurukulam,RAJAHMUNDRY",EAST GODAVARI,28142990336,505,140,7,1,4,24,104,140,44
"Dr. B. R. Ambedkar Gurukulam/JC,GOPALAPURAM",EAST GODAVARI,28150501514,505,60,1,0,1,8,49,59,9
"Dr. B. R. Ambedkar Gurukulam/JC,KOVVURU (BCRS)",EAST GODAVARI,28151690341,505,1520,34,29,37,226,1179,1505,411
"Dr. B. R. Ambedkar Gurukulam/JC,LAXMINARASAPURAM",EAST GODAVARI,28143300305,505,20,0,0,0,0,20,20,0
"Dr. B. R. Ambedkar Gurukulam/JC,VEERALANKAPALLI",EAST GODAVARI,28141700317,505,766,1,2,1,20,742,766,136
"INTEGRATED WELFARE HOSTEL COMPLEX, RAJAHMUNDRY",EAST GODAVARI,0312-2503-003,505,10,0,0,0,0,10,10,0
SW COLLEGE GIRLS HOSTEL NO 3 RAJAHMUNDRY,EAST GODAVARI,0312-2402-017,505,20,0,0,0,0,20,20,1
SWBH 1 RAJAHMUNDRY,EAST GODAVARI,0312-2402-008,505,10,0,0,0,0,10,10,0
APRS APPALARAJUGUDEM,ELURU,28150800404,748,40,0,0,0,0,40,40,0
APRS MUSUNURU,ELURU,28162501010,748,60,0,0,0,1,59,60,0
APRS NAGIREDDYGUDEM,ELURU,28150902824,748,8,0,0,0,0,8,8,0
APRS VIJAYAWADA,ELURU,28161791043,748,20,0,1,5,8,6,20,0
"APTWRS(G),BUTTAYYAGUDEM",ELURU,28150203103,748,10,0,0,0,4,6,10,0
"Dr. B. R. Ambedkar Gurukulam,CHINTALAPUDI",ELURU,28150902876,748,48,0,0,0,4,44,48,1
"Dr. B. R. Ambedkar Gurukulam/JC,DWARAKA TIRUMALA",ELURU,28151201112,748,3366,19,16,84,440,2805,3364,93
"Dr. B. R. Ambedkar Gurukulam/JC,ELURU AT VATLURU",ELURU,28152200208,748,250,2,3,4,16,216,241,44
"Dr. B. R. Ambedkar Gurukulam/JC,JANGAREDDYGUDEM",ELURU,28150701423,748,166,1,0,0,0,163,164,18
"Dr. B. R. Ambedkar Gurukulam/JC,NUZIVEEDU (G)",ELURU,28162390533,748,4952,2,1,9,56,4880,4948,820
"Dr. B. R. Ambedkar Gurukulam/JC,PEDAVEGI",ELURU,28152101329,748,128,0,0,1,8,119,128,13
"Dr. B. R. Ambedkar Gurukulam/JC,POLASANIPALLI",ELURU,28152000105,748,4091,53,15,33,47,3926,4074,529
"GOVT.B.C COLLEGE GIRLS HOSTEL-II,ELURU",ELURU,0401-2503-010,748,9,0,0,0,0,9,9,1
GOVT.B.C.BOYS HOSTEL NO-2 ELURU,ELURU,0401-2503-009,748,10,0,0,0,0,10,10,0
GOVT.B.C.GIRLS HOSTEL NO-2 ELURU,ELURU,0401-2503-002,748,10,0,1,2,6,1,10,0
"GOVT.S.W.I.W.H.C.(B), NUZVIDU",ELURU,0512-2402-003,748,30,0,0,0,1,29,30,30
GTW ASHRAM SCHOOL(GIRLS) KUKUNURU,ELURU,0416-2403-003,748,10,0,0,0,0,10,10,0
MJBCWREIS Gopalapuram,ELURU,28150501529,748,20,0,0,0,0,20,20,0
"S.W.G.H., MUSUNURU",ELURU,0512-2402-010,748,10,0,0,0,0,10,10,0
"S.W.G.H.NO.1, NUZVIDU",ELURU,0512-2402-007,748,10,0,0,0,0,10,10,0
SW BOYS HOSTEL KUCHIMPUDI,ELURU,0401-2402-014,748,10,0,0,0,0,10,10,0
"SW BOYS HOSTEL, BHIMADOLE",ELURU,0404-2402-001,748,10,0,0,0,0,10,10,0
"SW BOYS HOSTEL, BUTTAIGUDEM",ELURU,0407-2402-002,748,10,0,0,0,0,10,10,2
"SW BOYS HOSTEL, DHARMAJI GUDEM",ELURU,0405-2402-008,748,20,0,0,0,7,13,20,0
"SW BOYS HOSTEL, KAMAVARAPUKOTA",ELURU,0405-2402-012,748,10,1,2,0,1,6,10,0
"SW BOYS HOSTEL, KANNAPURAM",ELURU,0407-2402-021,748,18,0,0,0,0,18,18,0
"SW BOYS HOSTEL, PRAGADAVARAM",ELURU,0405-2402-005,748,10,0,0,0,0,10,10,0
"SW BOYS HOSTEL, SINGAGUDEM",ELURU,0405-2402-010,748,10,0,0,0,7,3,10,0
SW COLLEGE BOYS HOSTEL JANGAREDDIGUDEM,ELURU,0407-2402-027,748,10,0,0,0,0,10,10,0
SW COLLEGE GIRLS HOSTEL JANGAREDDIGUDEM,ELURU,0407-2402-026,748,10,0,0,0,0,10,10,1
SW GIRLS COLLEGE HOSTEL NO 2 ELURU,ELURU,0401-2402-017,748,10,0,0,0,0,10,10,0
"SW GIRLS HOSTEL, KAMAVARAPUKOTA",ELURU,0405-2402-013,748,10,0,0,0,0,10,10,0
"SW GIRLS HOSTEL, KOYYALAGUDEM",ELURU,0407-2402-008,748,20,0,0,0,0,20,20,0
"SW IWHC FOR GIRLS, CHINTALAPUDI",ELURU,0405-2402-004,748,30,0,0,0,0,30,30,0
APRS GUNTUR (G),GUNTUR,28172691394,506,10,0,0,0,0,10,10,0
APRS THADIKONDA,GUNTUR,28171300615,506,19,0,0,0,0,19,19,3
"APTWRS(G),TENALI",GUNTUR,28173291122,506,10,0,0,0,0,10,10,0
"Dr. B. R. Ambedkar Gurukulam,ADAVITAKKILAPADU",GUNTUR,28172600216,506,50,0,0,0,0,50,50,10
"Dr. B. R. Ambedkar Gurukulam,KAKUMANU AT RETURU",GUNTUR,28175790150,506,50,0,0,0,2,48,50,0
"Dr. B. R. Ambedkar Gurukulam,TADIKONDA",GUNTUR,28171300620,506,32,8,0,1,1,22,32,0
