2026-06-03 13:19:00  =========================================
2026-06-03 13:19:00    CLEANUP SCRIPT
2026-06-03 13:19:00    DRY_RUN: True
2026-06-03 13:19:00    Log file: school_cleanup_log_20260603_131900.log
2026-06-03 13:19:00  =========================================

2026-06-03 13:19:00  [*] Loaded 184 valid school codes from 'schools_to_retain.csv'.
2026-06-03 13:19:00  [*] Connecting to the database...
2026-06-03 13:19:00  [*] Identifying records to delete...
2026-06-03 13:19:00  
[!] Found 7723 total records to delete across 461 unmatched school codes.

2026-06-03 13:19:00  --- DATA TO BE DELETED ---
2026-06-03 13:19:00  School Name                                        | School Code     | Records
2026-06-03 13:19:00  ------------------------------------------------------------------------------
2026-06-03 13:19:00  GOVT COLLEGE BOYS HOSTEL (BC) - AMADALAVALASA      | 0102-2503-006   | 10     
2026-06-03 13:19:00  GOVT BOYS HOSTEL (BC) - M.S.R PURAM                | 0107-2503-006   | 9      
2026-06-03 13:19:00  SW COLLEGE  BOYS  HOSTEL NO1 Marripalem Madhuraw   | 0201-2402-023   | 11     
2026-06-03 13:19:00  SW COLLEGE  BOYS  HOSTEL NO3 Chinagadili           | 0201-2402-024   | 20     
2026-06-03 13:19:00  SW COLLEGE BOYS HOSTEL MADHURAWADA                 | 0201-2402-026   | 10     
2026-06-03 13:19:00  GTW PM COLLEGE HOSTEL(BOYS) KAPARADA VISAKHAPATN   | 0201-2403-009   | 29     
2026-06-03 13:19:00  GTW PM COLLEGE HOSTEL(BOYS) VISAKHAPATNAM-3        | 0201-2403-013   | 10     
2026-06-03 13:19:00  Govt.B.C.College Girls Hostel Visakhapatnam (SOU   | 0201-2501-016   | 10     
2026-06-03 13:19:00  GTW ASHRAM SCHOOL(BOYS) PEDAVALASA                 | 0206-2403-023   | 10     
2026-06-03 13:19:00  GTW ASHRAM SCHOOL(BOYS) CHINTHAPALLI-2             | 0206-2403-033   | 10     
2026-06-03 13:19:00  GTW ASHRAM SCHOOL(GIRLS) THANDAVA                  | 0206-2403-045   | 6      
2026-06-03 13:19:00  GTW ASHRAM SCHOOL(GIRLS) RINTHADA                  | 0206-2403-047   | 10     
2026-06-03 13:19:00  Govt. SW Girls Hostel, Ravikamatham                | 0210-2402-005   | 18     
2026-06-03 13:19:00  Govt.B.C.Boys Hostel Butchayyapeta                 | 0210-2501-004   | 40     
2026-06-03 13:19:00  Govt.B.C.Boys Hostel, Golugonda                    | 0212-2501-005   | 10     
2026-06-03 13:19:00  GTW ASHRAM SCHOOL(BOYS) TALARISINGI PADERU         | 0213-2403-006   | 10     
2026-06-03 13:19:00  GTW ASHRAM SCHOOL(BOYS) SEEKARI                    | 0213-2403-030   | 10     
2026-06-03 13:19:00  SWBH 2 KAKINADA                                    | 0301-2402-004   | 10     
